,OTL,COM,ODT,meta,parts,chords
32,Little Niles,"Weston, Randy",1958,"['OTL: Little Niles', 'COM: Weston, Randy', 'ODT: 1958']","['A', 'A', 'B', 'B', 'A2']","[{'meta': ['*>A\n', '*M3/4\n', '*g:\n'], 'bars': [['.G:min'], ['.G:min6'], ['.E-7'], ['.D7b9'], ['.G:min'], ['.G:min6'], ['.E-7'], ['.D7b9'], ['.G:min'], ['.G:minb6'], ['.G:min6'], ['.G:minb6'], ['.B7b5'], ['.E7'], ['.A7b5']]}, {'meta': ['*>B\n'], 'bars': [['.Do7/D-'], ['.Do7/D-'], ['.Do7/D-'], ['.Do7/D-'], ['.Do7/D-'], ['.Do7/D-'], ['.Do7/D-']]}, {'meta': ['*>A2\n'], 'bars': [['.G:min'], ['.G:min6'], ['.E-7'], ['.D7b9'], ['.G:min'], ['.G:min6'], ['.E-7'], ['.D7b9'], ['.G:min'], ['.G:minb6'], ['.G:min6'], ['.G:minb6'], ['.B7b5'], ['.E7'], ['.A7b5'], ['.D7b9']]}]"
33,This Can't Be Love,"Rodgers, Richard",1938,"[""OTL: This Can't Be Love"", 'COM: Rodgers, Richard', 'ODT: 1938']","['A', 'A2', 'B', 'A3']","[{'meta': ['*>A\n', '*M4/4\n', '*F:\n'], 'bars': [['F:maj7'], ['F:maj7'], ['B-7'], ['B-7'], ['F:maj7'], ['D:min7'], ['G:min7'], ['C7']]}, {'meta': ['*>A2\n'], 'bars': [['F:maj7'], ['F:maj7'], ['B-7'], ['B-7'], ['A:min7', 'D:min7'], ['G:min7', 'C7'], ['F6'], ['F6']]}, {'meta': ['*>B\n'], 'bars': [['E:min7'], ['A7'], ['D:min7'], ['D:min7'], ['Ah7'], ['D7b9'], ['G:min7'], ['C7']]}, {'meta': ['*>A3\n'], 'bars': [['F:maj7'], ['F:maj7'], ['B-7'], ['B-7'], ['A:min7', 'D:min7'], ['G:min7', 'C7'], ['F6'], ['F6']]}]"
34,Don't Misunderstand,"Parks, Gordon",1972,"[""OTL: Don't Misunderstand"", 'COM: Parks, Gordon', 'ODT: 1972']","['A', 'N1', 'A', 'N2', 'B', 'A2']","[{'meta': ['*>A\n', '*M4/4\n', '*F:\n'], 'bars': [['F:maj7'], ['E7sus', 'E7alt'], ['E-:maj7'], ['D7sus', 'D7b9'], ['G7'], ['C7b9']]}, {'meta': ['*>N1\n'], 'bars': [['A:min7', 'D7'], ['G7', 'C7b9']]}, {'meta': ['*>N2\n'], 'bars': [['F6', 'B-7'], ['F6', 'Ah', 'D7']]}, {'meta': ['*>B\n'], 'bars': [['G:min'], ['Eh7', 'A7b9'], ['D:min'], ['D:min'], ['Bh7', 'B-7'], ['A:min7', 'A-o7'], ['G:min7'], ['C7b9']]}, {'meta': ['*>A2\n'], 'bars': [['F:maj7'], ['E7sus', 'E7alt'], ['E-:maj7'], ['D7sus', 'D7b9'], ['G7'], ['C7b9'], ['F6'], ['G:min7', 'C7b9']]}]"
35,Old Cape Cod," Jeffrey, Allan",1957,"['OTL: Old Cape Cod', 'COM1: Rothrock, Claire', 'COM2: Yakus, Milton', 'COM3: Jeffrey, Allan', 'ODT: 1957']","['A', 'N1', 'A', 'N2', 'B', 'A2']","[{'meta': ['*>A\n', '*M4/4\n', '*E-:\n'], 'bars': [['E-6'], ['B-:min7', 'E-7'], ['A-:maj7'], ['D-7'], ['E-:maj7', 'C7']]}, {'meta': ['*>N1\n'], 'bars': [['F7'], ['F:min7'], ['B-7']]}, {'meta': ['*>N2\n'], 'bars': [['F7', 'B-7'], ['E-6'], ['B-:min7', 'E-7']]}, {'meta': ['*>B\n'], 'bars': [['A-:maj7', 'B-7'], ['G:min7', 'C7b9'], ['F:min7', 'B-7'], ['E-:maj7', 'E-7'], ['A-:maj7', 'Ao7'], ['E-^', 'D-6', 'C7'], ['F:min7', 'F7'], ['B-7', 'B-7#5']]}, {'meta': ['*>A2\n'], 'bars': [['E-6'], ['B-:min7', 'E-7'], ['A-:maj7'], ['D-7'], ['E-:maj7', 'C7'], ['F7', 'B-7'], ['E-6'], ['F:min7', 'B-7']]}]"
36,Paper Doll,"Black, Johnny",1943,"['OTL: Paper Doll', 'COM: Black, Johnny', 'ODT: 1943']",['A'],"[{'meta': ['*>A\n', '*M4/4\n', '*F:\n'], 'bars': [['F:maj7', 'D7'], ['G7'], ['C7'], ['F6'], ['F^9/A', 'F:min:maj7/A-'], ['C:maj7/G', 'A7'], ['G7'], ['C7'], ['G:min7', 'C7'], ['F6'], ['G:min7', 'C7'], ['A7'], ['B-', 'Bo7'], ['F', 'A7'], ['G:min7', 'C7'], ['F6']]}]"
37,Four On Six,"Montgomery, Wes",1960,"['OTL: Four On Six', 'COM: Montgomery, Wes', 'ODT: 1960']",['/'],[]
38,Bourbon Street Parade,"Barbarin, Paul",1949,"['OTL: Bourbon Street Parade', 'COM: Barbarin, Paul', 'ODT: 1949']","['A', 'B', 'A2', 'C']","[{'meta': ['*>A\n', '*M4/4\n', '*B-:\n'], 'bars': [['B-'], ['A', 'B-'], ['A', 'B-'], ['A', 'B-'], ['B-'], ['D7', 'G:min7'], ['C:min7'], ['F7']]}, {'meta': ['*>B\n'], 'bars': [['C:min7'], ['G7', 'F7'], ['C:min7'], ['E7', 'F7'], ['F7'], ['F7', 'F+'], ['B-'], ['B-']]}, {'meta': ['*>A2\n'], 'bars': [['B-'], ['A', 'B-'], ['A', 'B-'], ['A', 'B-'], ['F:min7'], ['B-7'], ['E-'], ['E-']]}, {'meta': ['*>C\n'], 'bars': [['E-'], ['Eo7'], ['B-/F'], ['G7'], ['C7'], ['F7'], ['B-'], ['C:min7', 'F7']]}]"
39,Where Or When,"Rodgers, Richard",1937,"['OTL: Where Or When', 'COM: Rodgers, Richard', 'ODT: 1937']","['A', 'N1', 'A', 'N2', 'B', 'A2']","[{'meta': ['*>A\n', '*M4/4\n', '*E-:\n'], 'bars': [['E-'], ['E-6'], ['E-:maj7'], ['E-:maj7'], ['A-:maj7'], ['A-:maj7'], ['A-:maj7'], ['F:min7', 'B-7sus']]}, {'meta': ['*>N1\n'], 'bars': [['E-:maj7'], ['B-7sus']]}, {'meta': ['*>N2\n'], 'bars': [['E-:maj7'], ['Dh7', 'G7b9']]}, {'meta': ['*>B\n'], 'bars': [['C:min7'], ['F:min7'], ['Dh7'], ['G7b9'], ['C:min7'], ['F:min7'], ['B7#11'], ['B-7']]}, {'meta': ['*>A2\n'], 'bars': [['E-'], ['E-6'], ['G7'], ['C:min7'], ['A-:maj7'], ['C7b9'], ['F:min7'], ['C7b9'], ['F:min7'], ['B-7'], ['E-6'], ['F:min7', 'B-7']]}]"
40,Stormy Weather,"Arlen, Harold",1933,"['OTL: Stormy Weather', 'COM: Arlen, Harold', 'ODT: 1933']","['A', 'N1', 'A', 'N2', 'B', 'A2']","[{'meta': ['*>A\n', '*M4/4\n', '*G:\n'], 'bars': [['G:maj7', 'G#o7'], ['A:min7', 'D7'], ['G:maj7', 'G#o7'], ['A:min7', 'D7'], ['G6', 'G#o7'], ['A:min7', 'D7#5']]}, {'meta': ['*>N1\n'], 'bars': [['G6', 'E7#9'], ['A:min7', 'D7']]}, {'meta': ['*>N2\n'], 'bars': [['G6', 'C9'], ['B:min7', 'G#o7'], ['A:min7', 'D7#5'], ['G6', 'G7']]}, {'meta': ['*>B\n'], 'bars': [['C6', 'C#o7'], ['G6/D', 'G7'], ['C6', 'C#o7'], ['G6/D', 'G7'], ['C6', 'C#o7'], ['G6/D', 'E7'], ['G6/D', 'D#o', 'E:min7'], ['A7', 'D7']]}, {'meta': ['*>A2\n'], 'bars': [['G:maj7', 'G#o7'], ['A:min7', 'D7'], ['G:maj7', 'G#o7'], ['A:min7', 'D7'], ['G6', 'G#o7'], ['A:min7', 'D7#5'], ['G6', 'E7#9'], ['A:min7', 'D7#5'], ['G6', 'E7#9'], ['A:min7', 'D7']]}]"
41,Things Ain't What They Used To Be,"Ellington, Duke",1942,"[""OTL: Things Ain't What They Used To Be"", 'COM: Ellington, Duke', 'ODT: 1942']",['/'],[]
42,Cottontail,"Ellington, Duke",1940,"['OTL: Cottontail', 'COM: Ellington, Duke', 'ODT: 1940']","['A', 'N1', 'A', 'N2', 'B', 'A2']","[{'meta': ['*>A\n', '*M4/4\n', '*B-:\n'], 'bars': [['B-6', 'G:min7'], ['C:min7', 'F7'], ['D:min7', 'G7'], ['C:min7', 'F7'], ['B-6', 'B-7/D'], ['E-6', 'Eo7'], ['B-6/F', 'G:min7']]}, {'meta': ['*>N1\n'], 'bars': [['C:min7', 'F7']]}, {'meta': ['*>N2\n'], 'bars': [['F7', 'B-6']]}, {'meta': ['*>B\n'], 'bars': [['D7'], ['D7'], ['G7'], ['G7'], ['C7'], ['C7'], ['F7'], ['F7']]}, {'meta': ['*>A2\n'], 'bars': [['B-6', 'G:min7'], ['C:min7', 'F7'], ['D:min7', 'G7'], ['C:min7', 'F7'], ['B-6', 'B-7/D'], ['E-6', 'Eo7'], ['B-6/F', 'G:min7'], ['F7', 'B-6']]}]"
43,"Preacher, The","Silver, Horace",1954,"['OTL: Preacher, The', 'COM: Silver, Horace', 'ODT: 1954']",['/'],[]
44,I Can't Give You Anything But Love,"McHugh, Jimmy",1928,"[""OTL: I Can't Give You Anything But Love"", 'COM: McHugh, Jimmy', 'ODT: 1928']","['A', 'B', 'A2', 'C']","[{'meta': ['*>A\n', '*M4/4\n', '*F:\n'], 'bars': [['F:maj7'], ['A-o7'], ['G:min7'], ['C7'], ['F:maj7'], ['A-o7'], ['G:min7'], ['C7']]}, {'meta': ['*>B\n'], 'bars': [['F:maj7'], ['C:min7', 'F7'], ['B-:maj7'], ['B-:maj7'], ['G7'], ['G7'], ['G:min7'], ['C7']]}, {'meta': ['*>A2\n'], 'bars': [['F:maj7'], ['A-o7'], ['G:min7'], ['C7'], ['F:maj7'], ['C:min7', 'F7'], ['B-:maj7'], ['B-:maj7']]}, {'meta': ['*>C\n'], 'bars': [['B-:maj7'], ['Bo7'], ['F:maj7/C'], ['D7'], ['G:min7'], ['C7'], ['F6', 'D7'], ['G:min7', 'C7']]}]"
45,Isn't This A Lovely Day (To Be Caught In The Rain),"Berlin, Irving",1935,"[""OTL: Isn't This A Lovely Day (To Be Caught In The Rain)"", 'COM: Berlin, Irving', 'ODT: 1935']","['A', 'B', 'A2', 'C']","[{'meta': ['*>A\n', '*M4/4\n', '*G:\n'], 'bars': [['C:maj7'], ['C:min6', 'D7'], ['B:min7', 'A:min7'], ['G:maj7', 'G7/F'], ['C:maj7/E'], ['C:min6/E-', 'D7'], ['B:min7', 'A:min7'], ['G69']]}, {'meta': ['*>B\n'], 'bars': [['G:maj7/B'], ['B-o7'], ['D7/A', 'G#o7'], ['A:min7', 'D7'], ['G:maj7'], ['F#7#5'], ['B-:maj7/F'], ['E-9#11', 'D7']]}, {'meta': ['*>A2\n'], 'bars': [['C#h7'], ['C:min6', 'D7'], ['B:min7', 'A:min7'], ['G6', 'G7/F'], ['C6/E'], ['C:min6/E-', 'D7'], ['G69', 'A:min7/G'], ['G69']]}, {'meta': ['*>C\n'], 'bars': [['D:min'], ['G', 'G7/F', 'C/E', 'C:min/E-'], ['G6/D'], ['C#h7'], ['C:maj7'], ['C:min6', 'D7'], ['G6', 'B-o7'], ['A:min7', 'D7']]}]"
46,Quiet Now,"Zeitlin, Denny",1970,"['OTL: Quiet Now', 'COM: Zeitlin, Denny', 'ODT: 1970']","['A', 'B', 'C', 'A2']","[{'meta': ['*>A\n'], 'bars': [['A:min7', 'F:maj7'], ['E7', 'A:min7'], ['D:min7', 'G7', 'C:maj7'], ['B-7#11', 'A7#5'], ['Dh7/A-', 'G7', 'E7'], ['A:min7', 'D7#11'], ['E-:maj7', 'A-:maj7'], ['D-9']]}, {'meta': ['*>B\n'], 'bars': [['B:min7', 'G:maj7'], ['F#7'], ['E:min7', 'A7', 'D:maj7'], ['C7#11', 'B7#5'], ['Eh7/B-', 'A7', 'F#7'], ['B:min7', 'E7#11'], ['F#:min7', 'B:min7', 'E:min7', 'A7'], ['A:min7', 'D7#11']]}, {'meta': ['*>C\n'], 'bars': [['G:maj7', 'C9'], ['B:min7', 'B-7'], ['A-:maj7', 'D-7'], ['C:min7', 'B7'], ['A7', 'D7'], ['C#:min7', 'C7'], ['F#:min9/B'], ['E7']]}, {'meta': ['*>A2\n'], 'bars': [['A:min7', 'F:maj7'], ['E7', 'A:min7'], ['D:min7', 'G7', 'C:maj7'], ['B-7#11', 'A7#5'], ['Dh7/A-', 'G7', 'E7'], ['A:min7', 'D7#11'], ['E:min7', 'A:min7', 'D:min7', 'Gsus'], ['E:min7', 'A:min7', 'F^', 'B-^'], ['E:min7', 'E-^', 'A-^', 'D-^'], ['C^9', 'C:maj7(Bh)', 'C:maj7(E7)']]}]"
47,Stairway To The Stars,"Maineck, Matt",1935,"['OTL: Stairway To The Stars', 'COM: Maineck, Matt', 'ODT: 1935']","['A', 'N1', 'A', 'N2', 'B', 'A2']","[{'meta': ['*>A\n', '*M4/4\n', '*C:\n'], 'bars': [['C6', 'G7'], ['G:min7', 'C7'], ['F:maj7'], ['B-7#11'], ['A:min7', 'D7'], ['D:min7', 'G7']]}, {'meta': ['*>N1\n'], 'bars': [['E7', 'A7'], ['D:min7', 'G7']]}, {'meta': ['*>N2\n'], 'bars': [['C6', 'F7'], ['F#h7', 'B7b9']]}, {'meta': ['*>B\n'], 'bars': [['E:min7', 'F7#11'], ['E:min7', 'B7sus'], ['E:min7', 'B7b9'], ['Eh7', 'A7b9'], ['D:min7', 'E-7#11'], ['D:min7', 'A7sus'], ['D:min7', 'D7'], ['D:min7', 'G7']]}, {'meta': ['*>A2\n'], 'bars': [['C6', 'G7'], ['G:min7', 'C7'], ['F:maj7'], ['B-7#11'], ['A:min7', 'D7'], ['D:min7', 'G7'], ['C6', 'A:min7'], ['D7', 'G7']]}]"
48,Body And Soul,"Green, Johnny",1930,"['OTL: Body And Soul', 'COM: Green, Johnny', 'ODT: 1930']","['A', 'N1', 'A', 'N2', 'B', 'A2']","[{'meta': ['*>A\n', '*M4/4\n', '*D-:\n'], 'bars': [['E-:min7', 'B-7b13'], ['E-:min7', 'A-7'], ['D-:maj7', 'G-7'], ['F:min7', 'Eo7'], ['E-:min7', 'E-:min7/D-'], ['Ch7', 'F7b9'], ['B-:min7', 'E-:min7', 'A-7']]}, {'meta': ['*>N1\n'], 'bars': [['D-6', 'G-7', 'Fh', 'B-7']]}, {'meta': ['*>N2\n'], 'bars': [['D-6', 'E:min7', 'A7']]}, {'meta': ['*>B\n'], 'bars': [['D:maj7', 'E:min7'], ['D:maj7/F#', 'G:min7', 'C7'], ['F#:min7', 'B:min7', 'E:min7', 'A7'], ['D:maj7'], ['D:min7', 'G7'], ['E:min7', 'E-o7'], ['D:min7', 'G7'], ['C7', 'B7']]}, {'meta': ['*>A2\n'], 'bars': [['E-:min7', 'B-7b13'], ['E-:min7', 'A-7'], ['D-:maj7', 'G-7'], ['F:min7', 'Eo7'], ['E-:min7', 'E-:min7/D-'], ['Ch7', 'F7b9'], ['B-:min7', 'E-:min7', 'A-7'], ['D-6', 'G-7', 'Fh', 'B-7']]}]"
49,Don't Take Your Love From Me,"Nemo, Henry",1941,"[""OTL: Don't Take Your Love From Me"", 'COM: Nemo, Henry', 'ODT: 1941']","['A', 'B', 'A2', 'C']","[{'meta': ['*>A\n'], 'bars': [['C:maj7', 'D:min7'], ['E:min7', 'E-o7'], ['G7/D', 'G7'], ['D:min7', 'G7'], ['D:min7'], ['G7'], ['C:maj7'], ['C:maj7']]}, {'meta': ['*>B\n'], 'bars': [['C/E'], ['E-o7'], ['D:min7', 'A7'], ['D:min7'], ['D:min7', 'A7'], ['A-7#11', 'G7'], ['E:min7', 'E-:min7'], ['D:min7', 'G7']]}, {'meta': ['*>A2\n'], 'bars': [['C:maj7', 'D:min7'], ['E:min7', 'E-o7'], ['G7/D', 'G7'], ['D:min7', 'G7'], ['D:min7'], ['G7'], ['C:maj7', 'D:min7'], ['D#o7', 'C6/E', 'C7']]}, {'meta': ['*>C\n'], 'bars': [['F:maj7'], ['B-7'], ['C:maj7'], ['Eh7', 'A7'], ['D:min7'], ['G7'], ['C6'], ['D:min7', 'G7']]}]"
50,I Say A Little Prayer For You,"Bacharach, Burt",1967,"['OTL: I Say A Little Prayer For You', 'COM: Bacharach, Burt', 'ODT: 1967']","['A', 'A2', 'B', 'A', 'A2', 'B', 'C']","[{'meta': ['*>A\n'], 'bars': [['G:min7'], ['C:min7'], ['C:min7'], ['F9sus', 'B-:maj7'], ['M2/4', 'B-:maj7'], ['M4/4', 'A:min7(E-:maj7)'], ['D7']]}, {'meta': ['*>A2\n'], 'bars': [['G:min7'], ['C:min7'], ['C:min7'], ['F9sus', 'B-:maj7'], ['M2/4', 'B-:maj7'], ['M4/4', 'A:min7(E-:maj7)'], ['D7']]}, {'meta': ['*>B\n'], 'bars': [['E-', 'F/E-'], ['M3/4', '.D:min7', '.G:min7'], ['M4/4', 'B-9', 'B-9sus'], ['E-', 'F/E-'], ['M3/4', '.D:min7', '.G:min7'], ['M4/4', 'B-9', 'B-9sus'], ['E-', 'F/E-'], ['M3/4', '.D:min7', '.G:min7'], ['M4/4', 'B-9', 'B-9sus'], ['E-', 'F/E-'], ['D'], ['D']]}, {'meta': ['*>C\n'], 'bars': [['G:min7'], ['C:min7'], ['C:min7'], ['F9sus'], ['F9sus', '! Repeat and fade']]}]"
51,"Beautiful Friendship, A","Kahn, Donald",1957,"['OTL: Beautiful Friendship, A', 'COM: Kahn, Donald', 'ODT: 1957']","['A', 'A', 'B', 'A2']","[{'meta': ['*>A\n', '*M4/4\n', '*A-:\n'], 'bars': [['C:maj7'], ['G-7#11'], ['F:maj7'], ['Eh7', 'A7b9'], ['A:min7'], ['D7'], ['D:min7'], ['G7']]}, {'meta': ['*>B\n'], 'bars': [['G:min7'], ['C7'], ['F:maj7'], ['B-7'], ['E:min7'], ['A7'], ['D7'], ['G7#5']]}, {'meta': ['*>A2\n'], 'bars': [['C:maj7'], ['G-7#11'], ['F:maj7'], ['Eh7', 'A7b9'], ['D:min7'], ['G7'], ['C6', 'A7'], ['D7', 'G7']]}]"
52,Unrequited,"Mehldau, Brad",1998,"['OTL: Unrequited', 'COM: Mehldau, Brad', 'ODT: 1998']","['A', 'Coda']","[{'meta': ['*>A\n', '*M4/4\n', '*C:\n'], 'bars': [['E:min7', 'C:maj7'], ['A:min7', 'B7'], ['C:min9', 'C:min9/B-'], ['A:min7b5', 'D7b9'], ['B-:maj7', 'E-:maj7'], ['C:min7', 'D7b9'], ['E-:min9', 'F7'], ['F#o7', 'G:min7'], ['G7#5', 'B/F#'], ['F7b5', 'F7'], ['B-:min6', 'F#:min6'], ['E6'], ['E-7'], ['A-7b9'], ['C#:min9', 'A:min7'], ['G', 'B7']]}, {'meta': ['*>Coda\n'], 'bars': [['! rall....', 'C:maj7'], ['B7'], ['B-:maj7'], ['A-:min;']]}]"
53,Brazilian Like,"Petrucciani, Michel",1998,"['OTL: Brazilian Like', 'COM: Petrucciani, Michel', 'ODT: 1998']",['A'],"[{'meta': ['*>A\n', '*M4/4\n', '*b-:\n'], 'bars': [['B-:min7'], ['D-7/A-'], ['Go7'], ['G-o7'], ['B-:min7/F'], ['B-:min7/F'], ['C7b9'], ['F7b9'], ['B-:min7'], ['G7'], ['C7'], ['C7'], ['C:min7'], ['F7', 'G-:maj7'], ['D-/F'], ['E-:min7'], ['D-:maj7'], ['C7b9'], ['F7b9'], ['B-:min7'], ['B-7b9'], ['E-:min7'], ['A-7', 'D7'], ['D-:maj7', 'G7#11'], ['G-7'], ['C7#9'], ['F7b9'], ['B-:min7'], ['B-:min7'], ['B-:min7'], ['B-:min7']]}]"
54,Speak Low,"Weill, Kurt",1943,"['OTL: Speak Low', 'COM: Weill, Kurt', 'ODT: 1943']","['A', 'ToCod', 'N1', 'A', 'ToCod', 'N2', 'B', 'A', 'ToCod', 'N1', 'A', 'Coda']","[{'meta': ['*>A\n', '*M4/4\n', '*F:\n'], 'bars': [['G:min7'], ['C7'], ['G:min7'], ['C7'], ['G:min7', 'C7'], ['G:min7', 'C7'], ['Ah7'], ['D7'], ['B-:min7']]}, {'meta': ['*>ToCod\n'], 'bars': [['B-:min7'], ['E-7'], ['D:min7', 'G7'], ['G:min7', 'C7']]}, {'meta': ['*>N1\n'], 'bars': [['F6'], ['A:min7', 'D7']]}, {'meta': ['*>N2\n'], 'bars': [['F6'], ['F6']]}, {'meta': ['*>B\n'], 'bars': [['F:min7'], ['F:min7'], ['D-7'], ['D-7'], ['E-:maj7'], ['E-:maj7'], ['D-7'], ['C7', '! D.C. al Coda']]}, {'meta': ['*>Coda\n'], 'bars': [['Ah7'], ['D7'], ['G:min7'], ['C7'], ['F6'], ['A:min7', 'D7']]}]"
55,Straight Street,"Coltrane, John",1957,"['OTL: Straight Street', 'COM: Coltrane, John', 'ODT: 1957']","['A', 'A', 'B', 'A2']","[{'meta': ['*>A\n', '*M4/4\n', '*e-:\n'], 'bars': [['B:min7', 'E7'], ['A:min7', 'D7'], ['G:min7', 'C7'], ['F:min7', 'B-7'], ['E-:min7'], ['E7'], ['G-7'], ['D7'], ['F:min7'], ['B-7'], ['E-:min7'], ['E-:min7']]}, {'meta': ['*>B\n'], 'bars': [['D-:min7'], ['G-7'], ['E-:min7'], ['A-7'], ['E:min7'], ['A7'], ['D:maj7'], ['C7#11'], ['B:min'], ['C#7'], ['F#:min7', 'B7'], ['G:min7', 'C7']]}, {'meta': ['*>A2\n'], 'bars': [['B:min7', 'E7'], ['A:min7', 'D7'], ['G:min7', 'C7'], ['F:min7', 'B-7'], ['E-:min7'], ['E7'], ['G-7'], ['D7'], ['F:min7'], ['B-7'], ['E-:min7'], ['E-:min7']]}]"
56,26-2,"Coltrane, John",1959,"['OTL: 26-2', 'COM: Coltrane, John', 'ODT: 1959']","['A', 'A2', 'B', 'A3']","[{'meta': ['*>A\n', '*M4/4\n', '*F:\n'], 'bars': [['F:maj7', 'A-7'], ['D-:maj7', 'E7'], ['A:maj7', 'C7'], ['C:min7', 'F7'], ['B-:maj7', 'D-7'], ['G-:maj7', 'A7'], ['D:min7', 'G7'], ['G:min7', 'C7']]}, {'meta': ['*>A2\n'], 'bars': [['F:maj7', 'A-7'], ['D-:maj7', 'E7'], ['A:maj7', 'C7'], ['C:min7', 'F7'], ['B-:maj7', 'A-7'], ['D-:maj7', 'E7'], ['A:maj7', 'C7'], ['F:maj7']]}, {'meta': ['*>B\n'], 'bars': [['C:min7', 'F7'], ['E:min7', 'A7'], ['D:maj7', 'F7'], ['B-:maj7'], ['E-:min7'], ['A-7'], ['D-:maj7'], ['G:min7', 'C7']]}, {'meta': ['*>A3\n'], 'bars': [['F:maj7', 'A-7'], ['D-:maj7', 'E7'], ['A:maj7', 'C7'], ['C:min7', 'F7'], ['B-:maj7', 'A-7'], ['D-:maj7', 'E7'], ['A:maj7', 'C7'], ['F:maj7']]}]"
57,Epistrophy,"Thelonious, Monk, Kenny Clarke",1942,"['OTL: Epistrophy', 'COM: Thelonious, Monk, Kenny Clarke', 'ODT: 1942']","['A', 'B', 'C', 'B2']","[{'meta': ['*>A\n', '*M4/4\n', '*D-:\n'], 'bars': [['D-7', 'D7'], ['D-7', 'D7'], ['D-7', 'D7'], ['D-7', 'D7'], ['E-7', 'E7'], ['E-7', 'E7'], ['E-7', 'E7'], ['E-7', 'E7']]}, {'meta': ['*>B\n'], 'bars': [['E-7', 'E7'], ['E-7', 'E7'], ['E-7', 'E7'], ['E-7', 'E7'], ['D-7', 'D7'], ['D-7', 'D7'], ['D-7', 'D7'], ['D-7', 'D7']]}, {'meta': ['*>C\n'], 'bars': [['F#:min7'], ['F#:min7'], ['F#:min7'], ['F#:min7'], ['B7'], ['B7'], ['D-7'], ['D7']]}, {'meta': ['*>B2\n'], 'bars': [['E-7', 'E7'], ['E-7', 'E7'], ['E-7', 'E7'], ['E-7', 'E7'], ['D-7', 'D7'], ['D-7', 'D7'], ['D-7', 'D7'], ['D-7', 'D7']]}]"
58,C Jam Blues,"Ellington, Duke",1942,"['OTL: C Jam Blues', 'COM: Ellington, Duke', 'ODT: 1942']",['/'],[]
59,They Didn't Believe Me,"Kern, Jerome",1914,"[""OTL: They Didn't Believe Me"", 'COM: Kern, Jerome', 'ODT: 1914']","['A', 'B']","[{'meta': ['*>A\n'], 'bars': [['A:min7'], ['D7'], ['G:maj7'], ['B:min7', 'E7'], ['A:min7'], ['D7'], ['G:maj7'], ['E:min7'], ['A:min7'], ['D7'], ['B:min7'], ['E:min7'], ['B:min7'], ['C#h7', 'F#7b13'], ['B:min7'], ['E7']]}, {'meta': ['*>B\n'], 'bars': [['A:min7'], ['D7'], ['G:maj7'], ['E:min7'], ['A:min7'], ['D7'], ['G:maj7', 'F7b5'], ['E7'], ['A:min7'], ['D7'], ['G:maj7', 'A:min7'], ['B:min7', 'E7'], ['A:min7'], ['D7'], ['G:maj7'], ['G:maj7']]}]"
60,I've Found A New Baby v2," Williams, Spencer",1926,"[""OTL: I've Found A New Baby v2"", 'COM1: Palmer, Jack', 'COM2: Williams, Spencer', 'ODT: 1926']","['A', 'N1', 'A', 'N2', 'B', 'A2']","[{'meta': ['*>A\n', '*M4/4\n', '*F:\n'], 'bars': [['D:min7'], ['A7'], ['D:min7'], ['D7'], ['G7'], ['C7']]}, {'meta': ['*>N1\n'], 'bars': [['F6'], ['A7']]}, {'meta': ['*>N2\n'], 'bars': [['F6'], ['F6']]}, {'meta': ['*>B\n'], 'bars': [['A7'], ['A7'], ['D:min7'], ['D:min7'], ['G7'], ['G7'], ['C7'], ['A7']]}, {'meta': ['*>A2\n'], 'bars': [['D:min7'], ['A7'], ['D:min7'], ['D7'], ['G7'], ['C7'], ['F6'], ['A7']]}]"
61,Cantaloupe Island,"Hancock, Herbie",1964,"['OTL: Cantaloupe Island', 'COM: Hancock, Herbie', 'ODT: 1964']",['/'],[]
62,You Do Something To Me,"Porter, Cole",1929,"['OTL: You Do Something To Me', 'COM: Porter, Cole', 'ODT: 1929']","['A', 'B', 'C']","[{'meta': ['*>A\n', '*M4/4\n', '*E-:\n'], 'bars': [['E-6'], ['D7'], ['E-6'], ['E-6'], ['E-6'], ['G:min7', 'C7b9'], ['F:min7'], ['B-7', 'C7b9'], ['F:min7'], ['C7b9'], ['F:min7'], ['C7b9'], ['F7'], ['F7'], ['F:min7'], ['B-7']]}, {'meta': ['*>B\n'], 'bars': [['G:min7'], ['G-o7'], ['F:min7'], ['Eo7'], ['F#:min7', 'B7'], ['F:min7', 'B-7'], ['F#:min7', 'B7'], ['F:min7', 'B-7']]}, {'meta': ['*>C\n'], 'bars': [['E-6'], ['D7'], ['E-6'], ['G:min7', 'C7'], ['F7'], ['B-7'], ['E-6'], ['F:min7', 'B-7']]}]"
63,Lyresto,"Burrell, Kenny",1962,"['OTL: Lyresto', 'COM: Burrell, Kenny', 'ODT: 1962']","['A', 'N1', 'B', 'A', 'N2', 'C']","[{'meta': ['*>A\n', '*M4/4\n', '*C:\n'], 'bars': [['E-:maj7'], ['G:min7', 'C7'], ['F:min7'], ['B-7'], ['E-:maj7'], ['G:min7', 'C7'], ['A-:min7'], ['D-7']]}, {'meta': ['*>N1\n'], 'bars': []}, {'meta': ['*>B\n'], 'bars': [['G:min7'], ['F#:min7', 'B7'], ['F:min7'], ['F:min7', 'B-7'], ['G:min7'], ['C7'], ['F:min7'], ['B-7']]}, {'meta': ['*>N2\n'], 'bars': []}, {'meta': ['*>C\n'], 'bars': [['B-:min7'], ['E-7'], ['A-:min7'], ['D-7'], ['E-:maj7', 'C7#5'], ['F:min7', 'B-7'], ['E-:maj7', 'C7#5'], ['F:min7', 'B-7']]}]"
